id,submitdate,startdate,whakgwds,whkontexterlernt1,whkontexterlernt2,whkontexterlernt3,whkontexterlernt4,whkontexterlerntother,whrolle,whanstellung,whprozent1,whprozent2,whprozent3,whbefristung,gserlernt1,gserlernt2,gserlernt3,gserlernt4,gserlerntother,setradition,severtraut,seetabliert,segebraeuchlich,agalter
74,2025-05-28 17:46:49,2025-05-28 17:10:06,1,Y,Y,,,,-oth-,0,,,,,Y,Y,,,,3,4,4,4,2
75,2025-05-30 10:03:47,2025-05-30 09:39:34,1,Y,,,,Y,-oth-,1,80,0,20,1,Y,,,,,3,1,3,3,2
76,2025-05-30 15:23:33,2025-05-30 14:46:47,0,Y,Y,,Y,,4,1,20,60,20,1,Y,Y,,Y,,3,4,3,4,2
77,2025-05-30 15:26:04,2025-05-30 15:08:02,1,,Y,,Y,,4,1,50,40,10,2,,Y,,Y,,3,4,3,4,3
78,2025-06-02 08:59:54,2025-06-02 08:49:20,0,Y,,,,,1,0,,,,,Y,,,,,2,4,1,1,2
79,2025-06-05 21:15:12,2025-06-05 20:24:05,0,Y,Y,,,,1,0,,,,,Y,Y,,,,3,4,4,4,2
80,2025-06-05 23:26:08,2025-06-05 23:06:06,0,,,,,,3,0,,,,,,,,,,,,,,4
81,2025-06-10 16:33:34,2025-06-10 16:23:19,0,,,,,,2,1,40,50,10,1,,Y,Y,,,2,3,1,2,3
82,2025-06-10 19:07:32,2025-06-10 18:36:55,0,Y,Y,Y,Y,,2,1,40,50,10,1,Y,Y,Y,Y,,4,3,3,4,3
83,2025-06-10 20:03:57,2025-06-10 19:58:56,1,Y,Y,Y,,,6,1,40,30,30,1,,,Y,Y,,2,3,3,3,3
84,2025-06-11 06:57:54,2025-06-11 06:37:50,1,Y,,,Y,Y,1,0,,,,,Y,,,Y,,2,3,4,4,2
85,2025-06-11 12:31:00,2025-06-11 12:21:07,1,,Y,,,,4,1,50,,50,1,,Y,Y,Y,,2,4,2,2,4
86,2025-06-11 18:20:12,2025-06-11 17:57:20,1,Y,Y,,Y,,4,1,50,10,40,2,,Y,Y,Y,,2,4,3,4,3
87,2025-06-13 20:03:49,2025-06-13 19:58:05,0,Y,,,,,1,0,,,,,Y,,,,,4,3,2,4,2
88,2025-06-15 09:31:15,2025-06-15 09:03:18,1,,,,,,-oth-,1,,80,20,3,,,,Y,,2,3,3,3,4
89,2025-06-24 10:38:12,2025-06-24 10:25:36,1,Y,Y,,Y,,4,1,40,40,20,1,Y,Y,,Y,,2,4,3,3,3
90,2025-06-26 11:51:43,2025-06-26 11:43:21,1,,,,,,2,1,80,,20,1,Y,Y,,,,3,4,4,4,2
91,2025-06-27 10:26:24,2025-06-27 10:19:25,0,,,,,,4,1,40,40,20,2,,Y,Y,Y,,2,1,3,3,4
92,2025-06-27 11:20:07,2025-06-27 11:11:22,1,Y,Y,,,,7,0,,,,,Y,Y,,,,3,3,3,2,2
93,2025-06-27 16:42:41,2025-06-27 16:13:05,1,,,Y,,,4,1,40,40,20,1,Y,Y,Y,,,3,2,3,3,2
94,2025-06-27 19:50:15,2025-06-27 19:25:00,1,Y,,,,,1,0,,,,,Y,,,,,3,4,3,4,2
95,2025-06-28 22:29:18,2025-06-28 22:12:06,0,Y,Y,Y,Y,,4,1,50,30,20,1,Y,Y,Y,Y,,3,3,3,3,2
96,2025-06-30 08:56:06,2025-06-30 08:42:04,0,Y,Y,Y,Y,,4,1,60,10,30,1,Y,Y,Y,Y,,2,4,2,2,3
97,2025-06-30 20:48:24,2025-06-30 20:38:26,1,,Y,Y,,,2,1,80,10,10,1,,,Y,,,2,4,2,3,3
98,2025-07-03 11:57:40,2025-07-03 11:26:02,0,Y,Y,Y,Y,,2,1,70,20,10,1,Y,Y,Y,Y,,2,4,3,2,2
99,2025-07-09 15:57:48,2025-07-09 15:07:03,1,Y,Y,,Y,,1,0,,,,,Y,Y,,Y,,2,4,4,4,2
100,2025-07-09 17:42:26,2025-07-09 17:24:01,1,,,,Y,,4,1,60,0,40,2,,Y,Y,Y,,2,3,3,2,3
